pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,strategy_name,symbol,timeframe,category,rsi_period,oversold,overbought,tp_type,sl_type,session_filter,has_htf_filter,has_vola_filter,has_breakeven,max_bars,avg_hold_min,pnl_tokyo,pnl_london,pnl_newyork,trades_tokyo,trades_london,trades_newyork,pair_tf,pf_capped
1.601,66.67,0.33,0.0,0.37,12000.0,6,1,3,0.062,0.8005,rsi_reversal_45c5b145,USDJPY,M5,mean_reversion,14,32,68,atr_mult,atr_mult,newyork,True,False,False,60,200.0,0.0,-0.33,0.71,0,1,5,USDJPY_M5,1.601
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,rsi_reversal_2f3fd065,USDJPY,M5,mean_reversion,18,20,80,atr_mult,fixed,all,True,True,True,120,0.0,0.0,0.0,0.0,0,0,0,USDJPY_M5,0.0
0.9289,41.27,3.28,0.0,-0.85,16252.4,63,6,5,-0.0135,1.3219,rsi_reversal_26522ae3,USDJPY,M5,mean_reversion,10,32,68,fixed,fixed,tokyo,False,True,False,0,270.9,-0.85,0.0,0.0,63,0,0,USDJPY_M5,0.9289
0.5874,12.61,3.84,0.0,-3.54,2797.3,111,23,2,-0.0319,4.0696,rsi_reversal_530d6697,USDJPY,M5,mean_reversion,14,30,70,atr_mult,fixed,tokyo,False,True,False,120,46.6,-3.54,0.0,0.0,111,0,0,USDJPY_M5,0.5874
0.8108,57.14,1.0,0.0,-0.35,6707.1,14,3,4,-0.0253,0.6081,rsi_reversal_2ded6437,USDJPY,M5,mean_reversion,14,32,68,fixed,atr_mult,newyork,True,False,False,120,111.8,0.0,-0.48,0.13,0,5,9,USDJPY_M5,0.8108
0.7092,62.5,3.1,0.0,-2.14,7082.8,64,7,8,-0.0335,0.4255,rsi_reversal_2f756421,USDJPY,M5,mean_reversion,14,32,68,atr_mult,fixed,london,False,False,True,120,118.0,-0.7,-1.44,0.0,13,51,0,USDJPY_M5,0.7092
0.9025,69.7,4.07,0.0,-2.19,5841.6,231,4,12,-0.0095,0.3924,rsi_reversal_5665ffde,USDJPY,M5,mean_reversion,7,35,65,atr_mult,fixed,london_ny,False,True,True,240,97.4,-0.08,-1.28,-0.83,43,100,88,USDJPY_M5,0.9025
0.6092,23.36,10.06,0.01,-9.52,1647.2,381,20,3,-0.025,1.9986,rsi_reversal_437930b1,USDJPY,M5,mean_reversion,7,35,65,atr_mult,fixed,tokyo,False,False,True,0,27.5,-9.52,0.0,0.0,381,0,0,USDJPY_M5,0.6092
0.541,35.48,2.02,0.0,-1.17,1587.1,31,11,3,-0.0377,0.9837,rsi_reversal_e182a9e0,USDJPY,M5,mean_reversion,10,20,80,atr_mult,atr_mult,tokyo,False,True,False,60,26.5,-1.17,0.0,0.0,31,0,0,USDJPY_M5,0.541
0.7381,38.87,5.34,0.01,-5.12,1821.2,283,10,6,-0.0181,1.1609,rsi_reversal_c59d9050,USDJPY,M5,mean_reversion,14,35,65,atr_mult,atr_mult,london_ny,False,True,True,0,30.4,-0.42,-3.57,-1.13,43,139,101,USDJPY_M5,0.7381
0.9491,48.61,2.69,0.0,-0.53,12445.8,72,6,7,-0.0074,1.0033,rsi_reversal_9772875d,USDJPY,M5,mean_reversion,7,30,70,fixed,fixed,newyork,False,False,False,60,207.4,0.0,-2.32,1.79,0,38,34,USDJPY_M5,0.9491
0.683,40.0,0.48,0.0,-0.3,3870.0,10,2,3,-0.0297,1.0245,rsi_reversal_3238671d,USDJPY,M5,mean_reversion,14,30,70,fixed,atr_mult,all,True,False,True,0,64.5,0.17,0.04,-0.51,4,2,4,USDJPY_M5,0.683
0.8868,33.33,0.26,0.0,-0.03,2200.0,3,2,1,-0.01,1.7736,rsi_reversal_3df00c55,USDJPY,M5,mean_reversion,21,35,65,fixed,atr_mult,newyork,True,False,False,240,36.7,0.0,0.0,-0.03,0,0,3,USDJPY_M5,0.8868
0.7799,56.52,1.5,0.0,-0.56,9052.2,23,4,4,-0.0243,0.5999,rsi_reversal_01924dc5,USDJPY,M5,mean_reversion,14,35,65,atr_mult,fixed,tokyo,True,False,True,240,150.9,-0.56,0.0,0.0,23,0,0,USDJPY_M5,0.7799
inf,100.0,0.0,0.0,0.25,8100.0,1,0,1,0.251,0.0,rsi_reversal_daee6f4e,USDJPY,M5,mean_reversion,18,32,68,fixed,fixed,london,True,False,False,120,135.0,0.0,0.25,0.0,0,1,0,USDJPY_M5,10.0
