pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,tf,sig_type,cat,tp_d,sl_d,sess,lv,be,trail,trail_type,mb,hold_m,pnl_tokyo,tr_tokyo,pnl_london,tr_london,pnl_newyork,tr_newyork
1.0558,53.0,2.91,0.0,0.74,297.8,217,6,6,0.0034,0.9364,wick_reversal_6c56f38c,GBPJPY,M1,wick_reversal,mean_reversion,A×3.0,A×1.5,london,True,True,True,atr_mult,60,5.0,-2.08,47,2.82,170,0.0,0
1.8771,57.14,0.51,0.0,2.26,261.0,63,4,6,0.0358,1.4079,atr_break_4d84aa5a,GBPJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,True,False,True,atr_mult,60,4.3,0.89,12,1.37,51,0.0,0
0.7749,35.54,4.95,0.0,-4.95,110.3,484,17,6,-0.0102,1.4056,bb_bounce_13ef0078,GBPJPY,M1,bb_bounce,mean_reversion,20p,10p,london,True,False,True,atr_mult,120,1.8,0.09,97,-5.04,387,0.0,0
0.9151,44.67,1.87,0.0,-1.26,70.4,450,10,7,-0.0028,1.1336,bb_bounce_bc35a86d,GBPJPY,M1,bb_bounce,mean_reversion,15p,5p,london,True,False,False,,0,1.2,0.66,99,-1.92,351,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_234a3173,GBPJPY,M1,atr_break,breakout,20p,10p,london,True,True,True,atr_mult,120,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_b3c069e6,GBPJPY,M1,atr_break,breakout,A×5.0,A×1.5,london,True,False,True,fixed,60,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_e1f8d850,GBPJPY,M1,atr_break,breakout,A×4.0,A×1.0,london,True,False,True,atr_mult,120,0.0,0.0,0,0.0,0,0.0,0
0.8027,42.57,2.54,0.0,-2.29,75.4,303,9,6,-0.0076,1.0827,donchian_break_b1fc2094,GBPJPY,M1,donchian_break,breakout,15p,7p,london,True,False,True,atr_mult,30,1.3,-1.45,74,-0.84,229,0.0,0
0.6646,43.33,4.02,0.0,-3.81,253.0,180,6,4,-0.0212,0.8691,donchian_break_d5e99fc8,GBPJPY,M1,donchian_break,breakout,A×4.0,A×1.0,newyork,True,True,False,,0,4.2,0.0,0,-0.99,65,-2.82,115
1.1851,53.85,0.49,0.0,0.38,107.3,52,4,5,0.0073,1.0158,atr_break_21a7fa69,GBPJPY,M1,atr_break,breakout,15p,15p,london,True,True,True,atr_mult,30,1.8,0.32,11,0.06,41,0.0,0
0.5851,31.25,2.45,0.0,-2.16,192.0,80,9,3,-0.027,1.2871,bb_bounce_1be46d79,GBPJPY,M1,bb_bounce,mean_reversion,A×2.5,A×1.0,london,True,True,False,,0,3.2,-0.11,13,-2.04,67,0.0,0
0.8832,55.04,7.03,0.01,-5.12,224.3,774,8,12,-0.0066,0.7215,bb_bounce_2c8017e8,GBPJPY,M1,bb_bounce,mean_reversion,A×5.0,A×1.5,london,False,False,True,fixed,30,3.7,1.4,172,-6.52,602,0.0,0
0.0,0.0,0.07,0.0,-0.07,240.0,1,1,0,-0.069,0.0,atr_break_469f0500,GBPJPY,M1,atr_break,breakout,A×2.0,A×1.0,newyork,True,False,False,,30,4.0,0.0,0,-0.07,1,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_ed9167f6,GBPJPY,M1,atr_break,breakout,15p,5p,newyork,True,True,False,,120,0.0,0.0,0,0.0,0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,atr_break_e5e741cd,GBPJPY,M1,atr_break,breakout,15p,15p,newyork,True,True,True,atr_mult,0,0.0,0.0,0,0.0,0,0.0,0
0.8812,47.17,2.51,0.0,-1.02,184.5,159,6,7,-0.0064,0.9869,hilo_break_eb18da08,GBPJPY,M1,hilo_break,breakout,A×2.0,A×1.0,newyork,True,True,True,atr_mult,60,3.1,0.0,0,0.95,64,-1.97,95
inf,100.0,0.0,0.0,0.22,180.0,2,0,2,0.1115,0.0,wick_reversal_fb436bb0,GBPJPY,M1,wick_reversal,mean_reversion,A×4.0,A×1.5,newyork,True,True,False,,30,3.0,0.0,0,0.19,1,0.03,1
0.6581,37.5,0.79,0.0,-0.68,70.7,56,7,4,-0.0122,1.0969,atr_break_0255f07b,GBPJPY,M1,atr_break,breakout,15p,7p,newyork,True,True,True,atr_mult,30,1.2,0.0,0,0.09,20,-0.77,36
0.7089,49.12,3.13,0.0,-3.03,109.4,226,6,6,-0.0134,0.7345,bb_bounce_9648252a,GBPJPY,M1,bb_bounce,mean_reversion,15p,15p,newyork,False,True,True,fixed,0,1.8,0.0,0,-2.49,74,-0.54,152
