rank,pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
785,0.0007,1.18,36.3,0.04,-36.3,276.4,170,momentum_3c40121e,EURJPY,M1
786,0.0006,1.35,15.07,0.02,-15.07,737.8,74,momentum_12bcd399,EURJPY,M1
787,0.0005,1.11,58.63,0.06,-58.63,676.0,270,bb_bounce_c1934f40,USDJPY,M1
788,0.0002,5.26,4.0,0.0,-4.0,281.1,19,rsi_reversal_2673622a,GBPJPY,M1
789,0.0,0.0,6.32,0.01,-6.32,736.2,26,rsi_reversal_3fe9f09b,GBPJPY,M1
790,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_03ce1c28,GBPJPY,M5
791,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a845f8f7,USDJPY,M1
792,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_4d796c6b,GBPJPY,M1
793,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,USDJPY,M1
794,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,USDJPY,M1
795,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_386a6412,USDJPY,M1
796,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_c6dfb46a,USDJPY,M5
797,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_386a6412,EURJPY,M5
798,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,EURJPY,M5
799,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,EURJPY,M5
800,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,EURJPY,M5
801,0.0,0.0,0.74,0.0,-0.74,510.0,2,rsi_reversal_4d796c6b,USDJPY,M1
802,0.0,0.0,49.54,0.05,-49.54,476.6,232,momentum_5a6bc941,EURJPY,M1
803,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a845f8f7,USDJPY,M5
804,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_4d796c6b,USDJPY,M5
805,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_c6dfb46a,EURJPY,M5
806,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a845f8f7,EURJPY,M5
807,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_dc42794d,EURJPY,M5
808,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_e47d038f,EURJPY,M5
809,0.0,0.0,0.5,0.0,-0.5,1080.0,1,rsi_reversal_03ce1c28,GBPJPY,M1
810,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,GBPJPY,M5
811,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_ede9ff40,EURJPY,M5
812,0.0,0.0,0.05,0.0,-0.05,60.0,1,bb_break_93eb63af,GBPJPY,M1
813,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,GBPJPY,M5
814,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,GBPJPY,M5
815,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,GBPJPY,M5
816,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a845f8f7,GBPJPY,M1
817,0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_c6dfb46a,GBPJPY,M1
818,0.0,0.0,0.5,0.0,-0.5,1080.0,1,rsi_reversal_dc42794d,GBPJPY,M1
819,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,GBPJPY,M5
820,0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_386a6412,GBPJPY,M5
