pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,max_consecutive_losses,max_consecutive_wins,expectancy,payoff_ratio,name,sym,sig,tp,sl,sess,lv,be,trail,mb,ab_period,ab_mult,hold_m,hl_lb,hl_cb,bb_p,bb_std
1.0361,39.5,2.22,0.0,0.41,275.4,281,13,10,0.0015,1.5868,bb_bounce_f3038fa1,USDJPY,bb_bounce,A×2.5,A×1.0,newyork,True,False,True,0,,,4.6,,,10.0,2.0
1.0317,36.05,4.19,0.0,0.6,276.5,294,10,6,0.002,1.8298,bb_bounce_f3038fa1,GBPJPY,bb_bounce,A×2.5,A×1.0,newyork,True,False,True,0,,,4.6,,,10.0,2.0
1.0307,48.0,0.74,0.0,0.07,240.0,50,9,6,0.0014,1.1166,atr_break_ad193c09,EURJPY,atr_break,A×4.0,A×1.0,newyork,True,True,True,30,14.0,1.0,4.0,,,,
1.0299,51.16,5.39,0.01,1.42,348.1,817,9,8,0.0017,0.9831,bb_bounce_980c7547,GBPJPY,bb_bounce,A×5.0,A×2.0,newyork,True,False,True,0,,,5.8,,,10.0,1.5
1.0288,44.7,3.45,0.0,0.62,182.7,443,9,7,0.0014,1.2731,hilo_break_fe448b9e,GBPJPY,hilo_break,A×4.0,A×1.0,london,True,True,True,60,,,3.0,5.0,1.0,,
1.0268,52.44,0.98,0.0,0.11,203.4,82,6,7,0.0013,0.9313,hilo_break_ab961a38,GBPJPY,hilo_break,A×4.0,A×1.0,london,True,True,True,0,,,3.4,5.0,2.0,,
1.0258,46.35,2.52,0.0,0.53,214.5,397,7,6,0.0013,1.1875,bb_bounce_5c6ca166,GBPJPY,bb_bounce,A×4.0,A×1.0,newyork,True,True,True,60,,,3.6,,,25.0,2.0
1.0257,30.65,4.63,0.0,0.63,229.8,447,10,6,0.0014,2.3209,atr_break_5fb0a3d8,GBPJPY,atr_break,A×2.0,A×0.7,london,False,False,True,60,16.0,0.8,3.8,,,,
1.0248,55.56,3.35,0.0,0.56,344.3,414,5,7,0.0014,0.8198,hilo_break_21759e13,EURJPY,hilo_break,A×5.0,A×2.0,newyork,False,True,True,0,,,5.7,15.0,1.0,,
1.0237,58.3,3.27,0.0,0.39,381.6,283,6,10,0.0014,0.7321,bb_bounce_5a3b70c2,GBPJPY,bb_bounce,A×5.0,A×2.0,london,True,True,True,0,,,6.4,,,10.0,2.0
