,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2024-02-12 08:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,20.960053754283656
2024-02-12 09:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.02153506955598
2024-02-12 10:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.040521271905813
2024-02-12 11:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.063104521820662
2024-02-12 12:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.07698261051802
2024-02-12 13:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.108003333907394
2024-02-12 14:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.23354158247147
2024-02-12 15:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.17051723503863
2024-02-12 16:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.165346327391344
2024-02-12 17:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-12 18:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-12 19:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-12 20:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-12 21:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-12 22:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-12 23:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-13 00:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-13 01:00:00+00:00,40.89798315832848,20.496940642189234,30.66579306741498,25.98228940397973,21.304315582323756
2024-02-13 02:00:00+00:00,40.89798315832848,20.496940642189234,30.633754593145643,25.98228940397973,21.304315582323756
2024-02-13 03:00:00+00:00,40.89798315832848,20.496940642189234,31.14158013559278,25.98228940397973,21.304315582323756
2024-02-13 04:00:00+00:00,40.89798315832848,20.496940642189234,31.405133986828066,25.98228940397973,21.304315582323756
2024-02-13 05:00:00+00:00,40.89798315832848,20.496940642189234,31.170926899488734,25.98228940397973,21.304315582323756
2024-02-13 06:00:00+00:00,40.89798315832848,20.496940642189234,31.41216433915403,25.98228940397973,21.304315582323756
2024-02-13 07:00:00+00:00,40.89798315832848,20.496940642189234,31.34207985313471,25.98228940397973,21.304315582323756
2024-02-13 08:00:00+00:00,40.89798315832848,20.496940642189234,31.24535478224709,25.98228940397973,21.304315582323756
2024-02-13 09:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 10:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 11:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 12:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 13:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 14:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 15:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 16:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 17:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 18:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 19:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 20:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 21:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 22:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
2024-02-13 23:00:00+00:00,40.89798315832848,20.496940642189234,31.014758558578524,25.98228940397973,21.304315582323756
