pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.3934,31.75,13.93,0.01,-12.86,4442.9,63,ema_cross_0b2d6a5b,GBPJPY,M5
0.3624,29.17,9.7,0.01,-8.71,5812.5,48,ema_cross_13118541,GBPJPY,M5
0.1676,41.79,31.69,0.03,-31.65,2344.0,134,ema_cross_156f8a41,GBPJPY,M5
0.5861,28.16,16.28,0.02,-15.36,6818.4,103,ema_cross_5809e979,GBPJPY,M5
0.2705,28.99,18.83,0.02,-18.83,6887.0,69,ema_cross_5e5710c1,GBPJPY,M5
0.348,59.74,13.96,0.01,-13.96,4262.3,77,ema_cross_66822117,GBPJPY,M5
0.1948,39.02,10.84,0.01,-10.84,2926.8,41,ema_cross_6e788a01,GBPJPY,M5
0.4844,18.52,8.63,0.01,-8.63,4550.0,54,ema_cross_8f6badbd,GBPJPY,M5
0.0581,21.97,43.66,0.04,-43.62,1274.6,173,ema_cross_902d3a73,GBPJPY,M5
0.0074,3.51,13.29,0.01,-13.29,342.1,57,ema_cross_b02e045d,GBPJPY,M5
0.084,25.81,11.91,0.01,-11.88,1891.9,62,ema_cross_b1324308,GBPJPY,M5
0.1243,15.11,40.76,0.04,-40.76,2747.5,139,ema_cross_bdb5fe2a,GBPJPY,M5
0.6035,25.49,9.5,0.01,-7.55,7523.5,51,ema_cross_deca493e,GBPJPY,M5
0.2752,21.21,16.9,0.02,-15.75,6922.7,66,ema_cross_ef9924e5,GBPJPY,M5
0.2864,28.07,29.58,0.03,-29.28,4218.4,114,ema_cross_f0deb4f0,GBPJPY,M5
0.1635,36.99,41.99,0.04,-41.99,1973.4,173,ema_cross_fea5572c,GBPJPY,M5
0.4932,41.96,23.8,0.02,-23.43,4334.3,143,momentum_0b77e21d,GBPJPY,M5
0.2811,49.42,33.29,0.03,-33.2,2619.8,172,momentum_3967e139,GBPJPY,M5
0.2794,37.5,20.52,0.02,-20.52,2570.5,88,momentum_44a50e6c,GBPJPY,M5
0.3615,45.74,17.36,0.02,-17.15,2996.8,94,momentum_490863a0,GBPJPY,M5
0.2747,35.05,20.91,0.02,-20.69,2378.4,97,momentum_5100332c,GBPJPY,M5
0.2148,24.51,23.21,0.02,-23.21,1802.9,102,momentum_6a62b07c,GBPJPY,M5
0.3052,40.48,18.55,0.02,-18.55,2857.1,84,momentum_7279aa16,GBPJPY,M5
0.3136,42.11,16.15,0.02,-16.15,2853.9,76,momentum_d74757dc,GBPJPY,M5
0.4936,46.15,17.37,0.02,-15.62,9189.2,65,momentum_dc40cb70,GBPJPY,M5
0.2917,22.81,52.36,0.05,-52.36,2627.0,263,rsi_reversal_1267fc98,GBPJPY,M5
0.0,0.0,4.05,0.0,-4.05,586.4,22,rsi_reversal_2673622a,GBPJPY,M5
0.4526,45.76,29.77,0.03,-29.59,8781.4,118,rsi_reversal_3cc77779,GBPJPY,M5
0.3455,27.27,5.7,0.01,-5.32,6736.4,22,rsi_reversal_5999e02d,GBPJPY,M5
0.4831,37.5,6.36,0.01,-5.88,4743.8,32,rsi_reversal_76543b15,GBPJPY,M5
0.6923,55.81,6.46,0.01,-4.77,9034.9,43,rsi_reversal_7a08475b,GBPJPY,M5
0.7113,55.88,10.33,0.01,-7.15,9088.2,68,rsi_reversal_8c7c3c1f,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_a73f69c6,GBPJPY,M5
0.3587,48.61,63.74,0.06,-63.74,4765.6,288,rsi_reversal_da6a2ac4,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_ea79811e,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,rsi_reversal_f39ae529,GBPJPY,M5
0.3618,23.08,11.35,0.01,-10.87,3063.5,52,rsi_reversal_f8f5d99f,GBPJPY,M5
0.403,41.94,29.34,0.03,-28.09,9445.2,93,rsi_trend_08bc1cb9,GBPJPY,M5
0.3745,36.26,30.16,0.03,-28.81,9468.1,91,rsi_trend_0a63e580,GBPJPY,M5
0.2954,31.75,24.08,0.02,-24.02,8500.0,63,rsi_trend_4e8ecd2c,GBPJPY,M5
0.4352,41.41,27.28,0.03,-25.98,8481.8,99,rsi_trend_5d31b21a,GBPJPY,M5
0.3879,37.76,30.6,0.03,-29.86,9076.5,98,rsi_trend_65d1a53d,GBPJPY,M5
0.3107,39.17,23.5,0.02,-23.22,2432.5,120,rsi_trend_8cdd4186,GBPJPY,M5
0.4219,42.73,29.45,0.03,-28.43,7276.4,110,rsi_trend_d066d7d9,GBPJPY,M5
0.0013,4.21,20.18,0.02,-20.17,648.6,95,bb_break_6fc3d727,USDJPY,M1
0.3597,33.33,9.01,0.01,-8.78,2084.7,51,donchian_break_1d1e6dd4,USDJPY,M1
0.0924,15.87,26.92,0.03,-26.73,539.5,126,donchian_break_67ae5630,USDJPY,M1
0.3447,32.0,9.19,0.01,-8.97,2139.6,50,donchian_break_c9960c99,USDJPY,M1
0.2238,32.79,12.87,0.01,-12.68,1666.2,61,donchian_break_c9b609d1,USDJPY,M1
0.5204,35.0,8.31,0.01,-7.6,2920.0,60,donchian_break_f969b62d,USDJPY,M1
0.0971,27.42,14.0,0.01,-13.71,991.0,62,ema_cross_0b2d6a5b,USDJPY,M1
0.2843,17.95,9.34,0.01,-8.6,3164.6,39,ema_cross_13118541,USDJPY,M1
0.3743,56.0,8.77,0.01,-8.28,3428.4,50,ema_cross_156f8a41,USDJPY,M1
0.2032,27.27,23.31,0.02,-22.46,1223.5,110,ema_cross_5809e979,USDJPY,M1
0.3437,21.28,11.18,0.01,-9.33,3384.3,47,ema_cross_5e5710c1,USDJPY,M1
0.2573,32.73,11.93,0.01,-11.22,2151.3,55,ema_cross_66822117,USDJPY,M1
0.2287,26.67,6.87,0.01,-6.14,2160.0,30,ema_cross_6e788a01,USDJPY,M1
0.3774,39.29,5.53,0.01,-4.48,2247.9,28,ema_cross_8f6badbd,USDJPY,M1
0.0912,27.13,27.78,0.03,-27.46,753.5,129,ema_cross_902d3a73,USDJPY,M1
0.0,0.0,11.91,0.01,-11.91,261.8,55,ema_cross_b02e045d,USDJPY,M1
0.1346,41.38,11.44,0.01,-11.06,1172.1,58,ema_cross_b1324308,USDJPY,M1
0.244,15.24,20.15,0.02,-19.61,1352.6,105,ema_cross_bdb5fe2a,USDJPY,M1
0.2857,27.45,10.0,0.01,-9.06,1558.8,51,ema_cross_deca493e,USDJPY,M1
0.4674,21.57,10.68,0.01,-7.69,3117.6,51,ema_cross_ef9924e5,USDJPY,M1
0.0606,27.27,23.54,0.02,-23.47,795.3,110,ema_cross_f0deb4f0,USDJPY,M1
0.2083,26.61,22.63,0.02,-22.07,1298.5,109,ema_cross_fea5572c,USDJPY,M1
0.2679,18.18,17.1,0.02,-17.1,2615.1,77,momentum_0b77e21d,USDJPY,M1
