pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.0841,8.38,1275.98,1.28,-1275.82,506.6,5809,rsi_reversal_de920a1b,USDJPY,M1
0.1583,43.99,511.95,0.51,-511.95,1936.9,2364,rsi_trend_a69f185a,USDJPY,M1
0.0061,5.2,833.23,0.83,-833.23,318.7,3752,rsi_trend_aaad8ce7,USDJPY,M1
0.151,11.04,481.31,0.48,-480.87,1182.7,2129,rsi_trend_cfcc4c41,USDJPY,M1
0.016,4.09,939.18,0.94,-939.18,344.6,4255,rsi_trend_d93f8fad,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,USDJPY,M5
0.0,0.0,0.62,0.0,-0.61,8100.0,1,atr_break_386a6412,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,USDJPY,M5
0.0759,20.88,177.58,0.18,-177.51,5242.5,800,bb_bounce_4b9af643,USDJPY,M5
0.0125,6.72,305.62,0.31,-305.62,1689.1,1399,bb_bounce_855c42e6,USDJPY,M5
0.0969,8.46,174.07,0.17,-174.07,3173.1,792,bb_bounce_87b909f7,USDJPY,M5
0.1004,15.01,112.44,0.11,-112.44,3432.7,513,bb_bounce_ba35fab5,USDJPY,M5
0.0005,0.52,295.17,0.3,-295.17,3405.1,1356,bb_bounce_c1934f40,USDJPY,M5
0.0263,14.39,97.51,0.1,-97.51,2482.1,431,bb_break_591b1a3c,USDJPY,M5
0.019,8.87,283.9,0.28,-283.85,2685.3,1285,bb_break_d3dc0be4,USDJPY,M5
0.0254,3.56,120.25,0.12,-120.25,1298.9,534,bb_break_eda60187,USDJPY,M5
0.0025,3.69,129.82,0.13,-129.82,3096.0,597,donchian_break_88941f39,USDJPY,M5
0.0001,0.13,179.17,0.18,-179.17,2759.0,798,donchian_break_c367b371,USDJPY,M5
0.0059,6.29,134.69,0.13,-134.69,3785.8,620,donchian_break_c3e2df3a,USDJPY,M5
0.13,26.67,48.89,0.05,-48.89,7215.7,210,donchian_break_c808e1f8,USDJPY,M5
0.1925,22.39,69.01,0.07,-68.6,10786.6,268,donchian_break_ff63572a,USDJPY,M5
0.0576,25.07,156.7,0.16,-156.66,4371.0,714,ema_cross_05fb5502,USDJPY,M5
0.154,23.28,68.87,0.07,-68.71,5994.1,305,ema_cross_12b3b7f5,USDJPY,M5
